ID,LAT,LON,panoId,LAG,HAG,LOWELEV_ST,FFE_ft,DEM_ft,camera_height_m,image_date,elevation_wgs84_m,elevation_egm96_m,pano_lat,pano_lng
707,36.724844,-75.938135,iyrYWDl63XriAF9VnkdmCA,5.5,5.9,4.5,10,5.31728,2.408631802,2019-04,-37.198499,2.360679,36.724875,-75.937856
715,36.730377,-76.238551,hX_Aqva7rGja0Hj_dONwjQ,7.3,7.5,7.5,10.4,5.05453,2.494348049,2019-04,-35.708407,3.074296,36.73019,-76.238434
718,36.743401,-76.307429,zvWfkU_iBeD6HZtQcMmDOA,7.4,7.8,7.4,11.6,3.43047,2.40946269,2019-04,-35.992385,2.580586,36.743181,-76.307529
720,36.791262,-76.28149,#NAME?,8.7,9.2,9.2,10,7.58942,2.40941453,2019-04,-34.110906,4.473669,36.791413,-76.28138
721,36.739511,-76.310331,qqEYv6H3XDfl4GsCiC-3iA,7.7,8.1,7.6,12.1,5.21836,2.409494638,2019-04,-35.731893,2.835559,36.739761,-76.310345
722,36.764178,-76.286696,o-igxKn9NneDRr1Rjino0A,6.9,7.5,7.3,10.7,6.20436,2.409337759,2019-04,-35.240434,3.367133,36.764001,-76.286793
723,36.744023,-76.311212,M1odXqcg0_FMZ_LG69creQ,7.8,8.1,7.7,12.1,6.35381,2.305667639,2019-04,-35.034913,3.526603,36.743794,-76.311337
725,36.791297,-76.281619,PXXEh74fAn1vm3Suc4pMjQ,7.6,8.7,7.6,10.3,6.01,2.408232212,2019-04,-34.761605,3.822287,36.791469,-76.281593
729,36.791366,-76.282039,ObiCceDswFO9tZaM6V3Mgw,7.9,8.1,,9.7,4.42795,2.409536123,2019-04,-36.583504,1.999103,36.791573,-76.281994
730,36.743094,-76.305427,QHs3wTNthCVzwi5V0r3MsQ,7.6,8,7.7,12.1,3.91214,2.40933609,2019-04,-36.152532,2.426494,36.742858,-76.305488
731,36.743125,-76.305678,z46ATqv0UEcAq2WOKko9zQ,7.5,7.7,7.5,11.9,4.30521,2.409175158,2019-04,-36.002807,2.575573,36.742891,-76.305712
735,36.721837,-76.314215,NDw-jgzlsjZXH_VTixtmJQ,7.5,7.6,7.5,10.7,7.52595,2.366116524,2019-04,-32.979132,5.589829,36.72204,-76.314372
738,36.730411,-76.238417,XgAx-UkRnN0xct9KyfqSng,7.5,7.6,7.5,10.6,4.90768,2.524819613,2019-04,-35.628405,3.154626,36.730212,-76.238325
746,36.742231,-76.305474,HBK9qCRoQLrDSHgw0A6xDQ,7.4,7.6,7.4,11.4,3.45725,2.473721027,2019-04,-36.474773,2.105705,36.742325,-76.305145
748,36.743057,-76.312297,ekX4k-LspVKvAsEk6MHXUg,,,,11.8,5.99641,2.409386158,2019-04,-35.351798,3.208386,36.742976,-76.312019
749,36.791681,-76.281752,CzVqQNS1vYuuSw1wIuF-tg,6.5,8.1,,10.3,5.40348,2.407653332,2019-04,-36.084256,2.498839,36.791534,-76.281844
750,36.791715,-76.281883,GYA51y-Qgzop7r88MAdRaQ,6,7.2,,9.7,5.38501,2.408172369,2019-04,-36.304921,2.277984,36.791548,-76.281898
